365277.49	6420147.62
365277.13	6420140.85
365276.77	6420134.08
365276.41	6420127.31
365276.05	6420120.54
365275.69	6420113.77
365275.33	6420107.00
365268.53	6420107.35
365268.17	6420100.58
365267.81	6420093.81
365267.45	6420087.04
365267.09	6420080.27
365266.73	6420073.50
365266.37	6420066.73
365266.01	6420059.96
365265.65	6420053.19
365265.29	6420046.42
365264.93	6420039.65
365264.57	6420032.88
365257.77	6420033.23
365257.41	6420026.46
365257.05	6420019.69
365256.69	6420012.92
365256.33	6420006.15
365255.97	6419999.38
365255.61	6419992.61
365255.25	6419985.84
365254.89	6419979.07
365254.53	6419972.30
365254.17	6419965.53
365253.81	6419958.76
365253.45	6419951.99
365253.09	6419945.22
365246.29	6419945.57
365245.93	6419938.80
365245.57	6419932.03
365245.21	6419925.26
365244.85	6419918.49
365244.49	6419911.72
365244.13	6419904.95
365243.77	6419898.18
365243.41	6419891.41
365243.05	6419884.64
365242.69	6419877.87
365242.33	6419871.10
365235.53	6419871.45
365235.17	6419864.68
365234.81	6419857.91
365234.45	6419851.14
365234.09	6419844.37
365233.73	6419837.60
365233.37	6419830.83
365233.01	6419824.06
365232.65	6419817.29
365232.29	6419810.52
365225.49	6419810.87
365225.13	6419804.10
365224.77	6419797.33
365224.41	6419790.56
365224.05	6419783.79
365223.69	6419777.02
365223.33	6419770.25
365222.97	6419763.48
365222.61	6419756.71
365215.81	6419757.06
365215.45	6419750.29
365215.09	6419743.52
365214.73	6419736.75
365214.37	6419729.98
365214.01	6419723.21
365207.21	6419723.56
365206.85	6419716.79
365206.49	6419710.02
365206.13	6419703.25
365205.77	6419696.48
365205.41	6419689.71
365205.05	6419682.94
365204.69	6419676.17
365197.89	6419676.52
365197.53	6419669.75
365197.17	6419662.98
365196.81	6419656.21
365196.45	6419649.44
365196.09	6419642.67
365195.73	6419635.90
365188.93	6419636.25
365188.57	6419629.48
365188.21	6419622.71
365187.85	6419615.94
365187.49	6419609.17
365187.13	6419602.40
365186.77	6419595.63
365186.41	6419588.86
365186.05	6419582.09
365179.25	6419582.44
365178.89	6419575.67
365178.53	6419568.90
365178.17	6419562.13
365177.81	6419555.36
365177.45	6419548.59
365177.09	6419541.82
365176.73	6419535.05
365176.37	6419528.28
365169.57	6419528.63
365169.21	6419521.86
365168.85	6419515.09
365168.49	6419508.32
365168.13	6419501.55
365167.77	6419494.78
365167.41	6419488.01
365167.05	6419481.24
365166.69	6419474.47
365166.33	6419467.70
365165.97	6419460.93
365165.61	6419454.16
365165.25	6419447.39
365164.89	6419440.62
365164.53	6419433.85
365164.17	6419427.08
365163.81	6419420.31
365163.45	6419413.54
365156.65	6419413.89
365156.29	6419407.12
365155.93	6419400.35
365155.57	6419393.58
365155.21	6419386.81
365154.85	6419380.04
365154.49	6419373.27
365154.13	6419366.50
365153.77	6419359.73
365153.41	6419352.96
365146.61	6419353.31
365146.25	6419346.54
365145.89	6419339.77
365145.53	6419333.00
365145.17	6419326.23
365144.81	6419319.46
365144.45	6419312.69
365144.09	6419305.92
365143.73	6419299.15
365136.93	6419299.50
365136.57	6419292.73
365136.21	6419285.96
365135.85	6419279.19
365135.49	6419272.42
365135.13	6419265.65
365134.77	6419258.88
365134.41	6419252.11
365127.61	6419252.46
365127.25	6419245.69
365126.89	6419238.92
365126.53	6419232.15
365126.17	6419225.38
365125.81	6419218.61
365125.45	6419211.84
365118.65	6419212.19
365118.29	6419205.42
365117.93	6419198.65
365117.57	6419191.88
365117.21	6419185.11
365116.85	6419178.34
365116.49	6419171.57
365116.13	6419164.80
365109.33	6419165.15
365108.97	6419158.38
365108.61	6419151.61
365108.25	6419144.84
365107.89	6419138.07
365107.53	6419131.30
365107.17	6419124.53
365106.81	6419117.76
365106.45	6419110.99
365106.09	6419104.22
365105.73	6419097.45
365098.93	6419097.80
365098.57	6419091.03
365098.21	6419084.26
365097.85	6419077.49
365097.49	6419070.72
365097.13	6419063.95
365096.77	6419057.18
365096.41	6419050.41
365096.05	6419043.64
365089.25	6419043.99
365088.89	6419037.22
365088.53	6419030.45
365088.17	6419023.68
365087.81	6419016.91
365087.45	6419010.14
365087.09	6419003.37
365086.73	6418996.60
365079.93	6418996.95
365079.57	6418990.18
365079.21	6418983.41
365078.85	6418976.64
365078.49	6418969.87
365078.13	6418963.10
365071.33	6418963.45
365070.97	6418956.68
365070.61	6418949.91
365070.25	6418943.14
365069.89	6418936.37
365069.53	6418929.60
365062.73	6418929.95
365062.37	6418923.18
365062.01	6418916.41
365061.65	6418909.64
365061.29	6418902.87
365060.93	6418896.10
365054.13	6418896.45
365053.77	6418889.68
365053.41	6418882.91
365053.05	6418876.14
365052.69	6418869.37
365052.33	6418862.60
365045.53	6418862.95
365045.17	6418856.18
365044.81	6418849.41
365044.45	6418842.64
365044.09	6418835.87
365043.73	6418829.10
365043.37	6418822.33
365043.01	6418815.56
365042.65	6418808.79
365035.85	6418809.14
365035.49	6418802.37
365035.13	6418795.60
365034.77	6418788.83
365034.41	6418782.06
365034.05	6418775.29
365033.69	6418768.52
365033.33	6418761.75
365032.97	6418754.98
365032.61	6418748.21
365032.25	6418741.44
365031.89	6418734.67
365031.53	6418727.90
365031.17	6418721.13
365030.81	6418714.36
365030.45	6418707.59
365030.09	6418700.82
365029.73	6418694.05
365029.37	6418687.28
365029.01	6418680.51
365028.65	6418673.74
365021.85	6418674.09
365021.49	6418667.32
365021.13	6418660.55
365020.77	6418653.78
365020.41	6418647.01
365020.05	6418640.24
365019.69	6418633.47
365019.33	6418626.70
365018.97	6418619.93
365012.17	6418620.28
365011.81	6418613.51
365011.45	6418606.74
365011.09	6418599.97
365010.73	6418593.20
365010.37	6418586.43
365010.01	6418579.66
365003.21	6418580.01
365002.85	6418573.24
365002.49	6418566.47
365002.13	6418559.70
365001.77	6418552.93
365001.41	6418546.16
364994.61	6418546.51
364994.25	6418539.74
364993.89	6418532.97
364993.53	6418526.20
364993.17	6418519.43
364992.81	6418512.66
364986.01	6418513.01
364985.65	6418506.24
364985.29	6418499.47
364984.93	6418492.70
364984.57	6418485.93
364984.21	6418479.16
364977.41	6418479.51
364977.05	6418472.74
364976.69	6418465.97
364976.33	6418459.20
364975.97	6418452.43
364975.61	6418445.66
364975.25	6418438.89
364968.45	6418439.24
364968.09	6418432.47
364967.73	6418425.70
364967.37	6418418.93
364967.01	6418412.16
364966.65	6418405.39
364966.29	6418398.62
364959.49	6418398.97
364959.13	6418392.20
364958.77	6418385.43
364958.41	6418378.66
364958.05	6418371.89
364957.69	6418365.12
364957.33	6418358.35
364950.53	6418358.70
364950.17	6418351.93
364949.81	6418345.16
364949.45	6418338.39
364949.09	6418331.62
364948.73	6418324.85
364948.37	6418318.08
364948.01	6418311.31
364947.65	6418304.54
364940.85	6418304.89
364940.49	6418298.12
364940.13	6418291.35
364939.77	6418284.58
364939.41	6418277.81
364939.05	6418271.04
364938.69	6418264.27
364938.33	6418257.50
364931.53	6418257.85
364931.17	6418251.08
364930.81	6418244.31
364930.45	6418237.54
364930.09	6418230.77
364929.73	6418224.00
364929.37	6418217.23
364929.01	6418210.46
364928.65	6418203.69
364921.85	6418204.04
364921.49	6418197.27
364921.13	6418190.50
364920.77	6418183.73
364920.41	6418176.96
364920.05	6418170.19
364919.69	6418163.42
364919.33	6418156.65
364912.53	6418157.00
364912.17	6418150.23
364911.81	6418143.46
364911.45	6418136.69
364911.09	6418129.92
364910.73	6418123.15
364910.37	6418116.38
364910.01	6418109.61
364903.21	6418109.96
364902.85	6418103.19
364902.49	6418096.42
364902.13	6418089.65
364901.77	6418082.88
364901.41	6418076.11
364901.05	6418069.34
364900.69	6418062.57
364893.89	6418062.92
364893.53	6418056.15
364893.17	6418049.38
364892.81	6418042.61
364892.45	6418035.84
364892.09	6418029.07
364891.73	6418022.30
364884.93	6418022.65
364884.57	6418015.88
364884.21	6418009.11
364883.85	6418002.34
364883.49	6417995.57
364883.13	6417988.80
364882.77	6417982.03
364882.41	6417975.26
364875.61	6417975.61
364875.25	6417968.84
364874.89	6417962.07
364874.53	6417955.30
364874.17	6417948.53
364873.81	6417941.76
364873.45	6417934.99
364873.09	6417928.22
364866.29	6417928.57
364865.93	6417921.80
364865.57	6417915.03
364865.21	6417908.26
364864.85	6417901.49
364864.49	6417894.72
364864.13	6417887.95
364857.33	6417888.30
364856.97	6417881.53
364856.61	6417874.76
364856.25	6417867.99
364855.89	6417861.22
364855.53	6417854.45
364855.17	6417847.68
364854.81	6417840.91
364854.45	6417834.14
364847.65	6417834.49
364847.29	6417827.72
364846.93	6417820.95
364846.57	6417814.18
364846.21	6417807.41
364845.85	6417800.64
364845.49	6417793.87
364838.69	6417794.22
364838.33	6417787.45
364837.97	6417780.68
364837.61	6417773.91
364837.25	6417767.14
364836.89	6417760.37
364836.53	6417753.60
364829.73	6417753.95
364829.37	6417747.18
364829.01	6417740.41
364828.65	6417733.64
364828.29	6417726.87
364827.93	6417720.10
364827.57	6417713.33
364827.21	6417706.56
364820.41	6417706.91
364820.05	6417700.14
364819.69	6417693.37
364819.33	6417686.60
364818.97	6417679.83
364818.61	6417673.06
364818.25	6417666.29
364811.45	6417666.64
364811.09	6417659.87
364810.73	6417653.10
364810.37	6417646.33
364810.01	6417639.56
364809.65	6417632.79
364809.29	6417626.02
364808.93	6417619.25
364802.13	6417619.60
364801.77	6417612.83
364801.41	6417606.06
364801.05	6417599.29
364800.69	6417592.52
364800.33	6417585.75
364799.97	6417578.98
364799.61	6417572.21
364792.81	6417572.56
364792.45	6417565.79
364792.09	6417559.02
364791.73	6417552.25
364791.37	6417545.48
364791.01	6417538.71
364790.65	6417531.94
364790.29	6417525.17
364789.93	6417518.40
364789.57	6417511.63
364782.77	6417511.98
364782.41	6417505.21
364782.05	6417498.44
364781.69	6417491.67
364781.33	6417484.90
364780.97	6417478.13
364780.61	6417471.36
364780.25	6417464.59
364779.89	6417457.82
364779.53	6417451.05
364772.73	6417451.40
364772.37	6417444.63
364772.01	6417437.86
364771.65	6417431.09
364771.29	6417424.32
364770.93	6417417.55
364770.57	6417410.78
364770.21	6417404.01
364769.85	6417397.24
364769.49	6417390.47
364769.13	6417383.70
364768.77	6417376.93
364768.41	6417370.16
364761.61	6417370.51
364761.25	6417363.74
364760.89	6417356.97
364760.53	6417350.20
364760.17	6417343.43
364759.81	6417336.66
364759.45	6417329.89
364759.09	6417323.12
364758.73	6417316.35
364758.37	6417309.58
364758.01	6417302.81
364757.65	6417296.04
364757.29	6417289.27
364756.93	6417282.50
364756.57	6417275.73
364749.77	6417276.08
364749.41	6417269.31
364749.05	6417262.54
364748.69	6417255.77
364748.33	6417249.00
364747.97	6417242.23
364747.61	6417235.46
364747.25	6417228.69
364746.89	6417221.92
364746.53	6417215.15
364739.73	6417215.50
364739.37	6417208.73
364739.01	6417201.96
364738.65	6417195.19
364738.29	6417188.42
364737.93	6417181.65
364737.57	6417174.88
364737.21	6417168.11
364730.41	6417168.46
364730.05	6417161.69
364729.69	6417154.92
364729.33	6417148.15
364728.97	6417141.38
364728.61	6417134.61
364728.25	6417127.84
364727.89	6417121.07
364727.53	6417114.30
364720.73	6417114.65
364720.37	6417107.88
364720.01	6417101.11
364719.65	6417094.34
364719.29	6417087.57
364718.93	6417080.80
364718.57	6417074.03
364718.21	6417067.26
364717.85	6417060.49
364717.49	6417053.72
364717.13	6417046.95
364716.77	6417040.18
364716.41	6417033.41
364709.61	6417033.76
364709.25	6417026.99
364708.89	6417020.22
364708.53	6417013.45
364708.17	6417006.68
364707.81	6416999.91
364707.45	6416993.14
364700.65	6416993.49
364700.29	6416986.72
364699.93	6416979.95
364699.57	6416973.18
364699.21	6416966.41
364692.41	6416966.76
364692.05	6416959.99
364691.69	6416953.22
364691.33	6416946.45
364690.97	6416939.68
364684.17	6416940.03
364683.81	6416933.26
364683.45	6416926.49
364683.09	6416919.72
364682.73	6416912.95
364675.93	6416913.30
364675.57	6416906.53
364675.21	6416899.76
364674.85	6416892.99
364674.49	6416886.22
364667.69	6416886.57
364667.33	6416879.80
364666.97	6416873.03
364666.61	6416866.26
364666.25	6416859.49
364659.45	6416859.84
364659.09	6416853.07
364658.73	6416846.30
364658.37	6416839.53
364658.01	6416832.76
364657.65	6416825.99
364650.85	6416826.34
364650.49	6416819.57
364650.13	6416812.80
364649.77	6416806.03
364649.41	6416799.26
364649.05	6416792.49
364648.69	6416785.72
364648.33	6416778.95
364647.97	6416772.18
364647.61	6416765.41
364647.25	6416758.64
364646.89	6416751.87
364640.09	6416752.22
364639.73	6416745.45
364639.37	6416738.68
364639.01	6416731.91
364638.65	6416725.14
364638.29	6416718.37
364637.93	6416711.60
364637.57	6416704.83
364637.21	6416698.06
364636.85	6416691.29
364636.49	6416684.52
364636.13	6416677.75
364635.77	6416670.98
364628.97	6416671.33
364628.61	6416664.56
364628.25	6416657.79
364627.89	6416651.02
364627.53	6416644.25
364627.17	6416637.48
364626.81	6416630.71
364620.01	6416631.06
364619.65	6416624.29
364619.29	6416617.52
364618.93	6416610.75
364618.57	6416603.98
364618.21	6416597.21
364617.85	6416590.44
364617.49	6416583.67
364610.69	6416584.02
364610.33	6416577.25
364609.97	6416570.48
364609.61	6416563.71
364609.25	6416556.94
364608.89	6416550.17
364608.53	6416543.40
364608.17	6416536.63
364607.81	6416529.86
364601.01	6416530.21
364600.65	6416523.44
364600.29	6416516.67
364599.93	6416509.90
364599.57	6416503.13
364599.21	6416496.36
364598.85	6416489.59
364598.49	6416482.82
364598.13	6416476.05
364597.77	6416469.28
